Audio File,Clip length(hh:mm:ss),Audio File Size (in MB),Audio Format,Annotation File,Source Video Title,Web Link of the video
UKIERI_ENGLISH_AUDIO_020.wav,00:50:28,254,wav,UKIERI_ENGLISH_AUDIO_020.TextGrid,"We The People Murderous hatred in Dadri; who is responsible [Low, 360p]",https://www.youtube.com/watch?v=SwuGn4cfCDI
UKIERI_ENGLISH_AUDIO_021.wav,00:09:44,49.1,wav,UKIERI_ENGLISH_AUDIO_021.TextGrid,"Akbaruddin Owaisi Aggressive Speech In Telangana Assembly Over HCU Issue  Mango News [Low, 360p]",https://www.youtube.com/watch?v=jnbnhWS34jA
UKIERI_ENGLISH_AUDIO_022.wav,00:41:50,211,wav,UKIERI_ENGLISH_AUDIO_022.TextGrid,"BS Bassi VS Umar Khalid - JNU Face Off  The Newshour Debate (23rd Feb 2016) [Low, 360p]",https://www.youtube.com/watch?v=mAikZTFWaYw
UKIERI_ENGLISH_AUDIO_023.wav,01:01:32,310,wav,UKIERI_ENGLISH_AUDIO_023.TextGrid,"Did Politics Killed Dalit Student Rohith Vemula  The Newshour Debate (18th Jan 2016) [Low, 360p]",https://www.youtube.com/watch?v=NJicdSM2xP4
UKIERI_ENGLISH_AUDIO_024.wav,00:53:08,268,wav,UKIERI_ENGLISH_AUDIO_024.TextGrid,"Kanhaiya gets bail Judge speaks of infection, antibiotics & Bollywood [Low, 360p]",https://www.youtube.com/watch?v=5XnpYh75HR0
UKIERI_ENGLISH_AUDIO_025.wav,00:50:51,256,wav,UKIERI_ENGLISH_AUDIO_025.TextGrid,"Media, JNU faculty assaulted Anti-national vs hyper-national [Low, 360p]",https://www.youtube.com/watch?v=UHwIinGXEYI
UKIERI_ENGLISH_AUDIO_026.wav,00:40:20,203,wav,UKIERI_ENGLISH_AUDIO_026.TextGrid,"Nationalism Debate Big JNU Campus Face-Off [Low, 360p]",https://www.youtube.com/watch?v=2at52nl8V88
UKIERI_ENGLISH_AUDIO_027.wav,00:47:20,238,wav,UKIERI_ENGLISH_AUDIO_027.TextGrid,"News Today At 9 Biggest Debate On JNU Controversy [Low, 360p]",https://www.youtube.com/watch?v=el1Wa-GFjN8
UKIERI_ENGLISH_AUDIO_028.wav,00:53:25,269,wav,UKIERI_ENGLISH_AUDIO_028.TextGrid,"Politics Over SUICIDE Of Rohith Vemula  The Newshour Debate (19th Jan 2016) [Low, 360p]",https://www.youtube.com/watch?v=2Yu06Qcq9Qo
UKIERI_ENGLISH_AUDIO_029.wav,00:37:15,188,wav,UKIERI_ENGLISH_AUDIO_029.TextGrid,"Pro Afzal Guru Virus Spreads - JNU to Jadavpur  The Newshour Debate (16th Feb 2016) [Low, 360p]",https://www.youtube.com/watch?v=sz_gyQhWdT8
UKIERI_ENGLISH_AUDIO_030.wav,00:48:53,246,wav,UKIERI_ENGLISH_AUDIO_030.TextGrid,"Rohith Vemulas suicide Prejudice and VIP pressure to blame [Low, 360p]",https://www.youtube.com/watch?v=QSHqBO6_cMM
UKIERI_ENGLISH_AUDIO_031.wav,00:18:36,93.8,wav,UKIERI_ENGLISH_AUDIO_031.TextGrid,"Shehla Rashid Blasting Speech, Must watch! False Nationalism Exposed at Pratirodh April 8 [Low, 360p]",https://www.youtube.com/watch?v=7ve07Jdyq_4
UKIERI_ENGLISH_AUDIO_032.wav,00:49:07,247,wav,UKIERI_ENGLISH_AUDIO_032.TextGrid,"Smriti Irani Full Speech In Lok Sabha  Rohith Vemula Suicide  JNU Row  Emotional Speech [Low, 360p]",https://www.youtube.com/watch?v=H8iqdNm3egk
UKIERI_ENGLISH_AUDIO_033.wav,00:41:23,208,wav,UKIERI_ENGLISH_AUDIO_033.TextGrid,"To The Point Kanhaiya Tears Into Modi Sarkar [Low, 360p]",https://www.youtube.com/watch?v=XYAYyoGZq30
UKIERI_ENGLISH_AUDIO_034.wav,01:01:34,310,wav,UKIERI_ENGLISH_AUDIO_034.TextGrid,"Tribute To Afzal Guru at JNU - Students Crossed All Lines  The Newshour Debate (10th Feb 2016) [Low, 360p]",https://www.youtube.com/watch?v=oGN2KOJMaeM
